City,Locality_Tier,BHK,Bathrooms,Super_Area_sqft,Property_Age_years,Parking,Furnishing,Distance_to_CityCenter_km,Market_Price_INR_Log
Mumbai,Premium,3,3,1435.1,9,1,Semi-Furnished,22.53,17.144089324496385
Mumbai,Mid,2,3,1021.8,7,1,Unfurnished,11.48,16.66611271876459
Hyderabad,Mid,4,3,1864.0,4,1,Unfurnished,15.17,16.409685278961117
Mumbai,Premium,5,6,2237.7,6,1,Fully-Furnished,13.82,17.6465181744845
Pune,Premium,3,3,1222.8,8,1,Unfurnished,13.89,16.360140560802904
Pune,Premium,2,2,787.6,7,1,Unfurnished,4.93,15.986557242449518
Bangalore,Mid,2,1,911.1,14,1,Unfurnished,11.84,15.915974326064099
Pune,Mid,3,4,1195.4,1,1,Semi-Furnished,19.13,16.25510947288105
Pune,Budget,2,2,724.8,5,0,Unfurnished,16.62,15.351198803276507
Hyderabad,Budget,3,4,1468.0,1,0,Semi-Furnished,11.66,16.119287240733154
Mumbai,Premium,3,3,1315.7,4,0,Semi-Furnished,15.32,16.989224107907507
Mumbai,Mid,3,4,1475.1,20,1,Unfurnished,14.1,16.88597899203464
Hyderabad,Mid,2,2,978.0,10,1,Semi-Furnished,15.17,15.727787395226441
Mumbai,Mid,1,2,535.4,15,0,Semi-Furnished,8.75,15.850586856057674
Mumbai,Mid,2,2,729.9,4,0,Fully-Furnished,22.78,16.139407726699076
Pune,Budget,1,1,630.5,11,1,Semi-Furnished,20.43,15.037824333652328
Bangalore,Premium,3,3,1169.2,9,1,Fully-Furnished,10.6,16.493548393313894
Bangalore,Premium,4,4,1929.9,21,1,Fully-Furnished,3.72,16.99531876515948
Mumbai,Mid,2,2,860.9,11,0,Fully-Furnished,14.36,16.478381786688136
Nagpur,Mid,2,2,976.9,20,1,Semi-Furnished,16.84,15.276193673243501
Bangalore,Budget,1,1,562.7,21,1,Unfurnished,13.64,15.062788798514767
Bangalore,Mid,2,3,889.8,3,1,Fully-Furnished,10.97,16.033864442080993
Pune,Mid,4,4,1722.9,6,0,Unfurnished,27.6,16.520865797584428
Mumbai,Premium,3,3,1185.0,15,0,Unfurnished,1.89,16.905588409880533
Hyderabad,Budget,2,1,839.7,4,1,Semi-Furnished,17.14,15.250573416352205
Mumbai,Premium,2,2,908.9,4,1,Semi-Furnished,3.57,16.74630038881536
Bangalore,Budget,2,2,1028.3,6,1,Fully-Furnished,15.33,15.864333214463143
Hyderabad,Budget,2,4,948.7,8,1,Unfurnished,22.35,15.383954169367538
Mumbai,Mid,2,2,840.9,7,1,Unfurnished,6.31,16.383278478005295
Bangalore,Mid,2,2,964.7,8,1,Fully-Furnished,11.55,16.0483553573639
Hyderabad,Mid,3,3,1585.6,7,1,Unfurnished,9.01,16.357634068958216
Pune,Budget,2,2,913.9,14,1,Semi-Furnished,8.65,15.643801229415429
Mumbai,Mid,2,2,1222.1,6,1,Unfurnished,21.93,16.74410354465286
Pune,Premium,2,2,800.7,2,1,Unfurnished,14.64,16.021801687397407
Hyderabad,Mid,2,2,815.9,5,1,Fully-Furnished,11.66,15.597130125038325
Mumbai,Premium,2,2,830.4,7,1,Unfurnished,13.05,16.508710504503725
Mumbai,Premium,2,2,991.8,1,1,Semi-Furnished,17.92,16.81535785319107
Pune,Mid,3,3,1374.2,4,0,Semi-Furnished,10.6,16.235196053673846
Mumbai,Budget,2,2,1016.7,3,1,Semi-Furnished,20.88,16.419884971604958
Hyderabad,Budget,3,4,1228.5,4,0,Semi-Furnished,6.58,15.988249118034505
Nagpur,Mid,4,5,1532.3,12,1,Unfurnished,17.65,15.97302282577796
Nagpur,Mid,3,3,1194.2,9,1,Fully-Furnished,13.29,15.66119523837965
Pune,Budget,2,3,758.0,8,1,Semi-Furnished,22.52,15.454960956117771
Nagpur,Premium,3,3,1323.4,0,1,Unfurnished,13.9,15.984180756234839
Bangalore,Mid,3,3,1488.4,11,1,Semi-Furnished,1.47,16.472913852216717
Bangalore,Mid,1,1,619.6,16,0,Unfurnished,11.44,15.500929957854336
Hyderabad,Budget,2,1,922.5,10,0,Unfurnished,20.29,15.195082625009604
Nagpur,Mid,2,2,1000.6,14,1,Semi-Furnished,21.63,15.466836200820326
Hyderabad,Mid,2,2,1007.7,8,1,Unfurnished,18.87,15.77780686055225
Mumbai,Mid,1,2,450.9,0,1,Semi-Furnished,20.42,15.666477802618537
Bangalore,Mid,2,2,929.1,10,0,Semi-Furnished,6.26,15.982055514064832
Mumbai,Mid,2,2,1094.9,4,0,Semi-Furnished,15.8,16.682962371442816
Hyderabad,Premium,4,5,1477.4,8,1,Fully-Furnished,4.46,16.50473798355871
Bangalore,Budget,1,1,545.6,11,1,Unfurnished,24.46,14.834843680719965
Hyderabad,Mid,3,3,1238.5,12,0,Semi-Furnished,14.08,16.080667993319775
Mumbai,Budget,2,2,874.8,2,0,Fully-Furnished,9.1,16.168493189276166
Mumbai,Mid,2,3,1038.3,10,1,Semi-Furnished,10.88,16.70613689456364
Pune,Mid,2,3,929.2,23,0,Semi-Furnished,16.4,15.782974181640054
Pune,Mid,2,2,844.2,7,0,Semi-Furnished,15.75,15.72991397021337
Hyderabad,Mid,2,3,1094.1,7,0,Unfurnished,8.49,15.840016786413237
Pune,Premium,5,5,2033.0,14,1,Unfurnished,0.5,16.94968812488271
Mumbai,Mid,2,2,1039.6,24,0,Unfurnished,15.74,16.563814528177254
Nagpur,Mid,2,2,916.9,12,0,Unfurnished,26.37,15.011616701088876
Pune,Mid,1,2,422.5,6,1,Semi-Furnished,24.96,14.654783735105438
Mumbai,Mid,3,4,1415.5,11,0,Semi-Furnished,8.35,16.845322225712362
Mumbai,Mid,2,2,935.0,11,0,Unfurnished,14.48,16.327226359380607
Mumbai,Budget,1,1,522.1,6,1,Unfurnished,22.69,15.52960087540502
Pune,Mid,2,2,918.3,16,0,Fully-Furnished,9.11,15.898755233553642
Nagpur,Premium,2,2,916.8,1,1,Semi-Furnished,7.22,15.7756801279474
Mumbai,Budget,2,2,757.9,7,0,Semi-Furnished,18.47,16.057463304112048
Nagpur,Budget,2,2,672.5,9,0,Fully-Furnished,6.69,14.963427164316528
Pune,Budget,1,1,480.6,3,1,Unfurnished,23.37,14.576045322225914
Nagpur,Budget,2,3,957.0,8,0,Unfurnished,20.33,15.01178843210773
Pune,Budget,1,1,538.8,1,0,Semi-Furnished,20.06,14.656870825684724
Pune,Mid,3,2,1084.8,6,1,Unfurnished,11.55,16.055789090475724
Bangalore,Budget,2,2,1003.2,18,0,Unfurnished,17.18,15.649672532047841
Mumbai,Budget,1,1,429.0,17,0,Semi-Furnished,21.5,15.136320083665774
Mumbai,Mid,1,1,657.7,11,1,Unfurnished,20.1,15.906636322477016
Hyderabad,Mid,2,3,757.8,4,0,Semi-Furnished,20.69,15.46480744136026
Pune,Mid,2,2,960.5,16,1,Unfurnished,16.96,15.836422555057402
Mumbai,Premium,2,2,790.7,3,1,Semi-Furnished,12.31,16.456236851227438
Pune,Mid,2,1,863.9,15,1,Unfurnished,16.79,15.752792591654133
Mumbai,Budget,1,2,694.0,3,0,Fully-Furnished,11.87,15.954884717375055
Bangalore,Mid,4,4,1245.0,13,1,Fully-Furnished,15.12,16.2788458772223
Nagpur,Budget,2,1,890.8,8,1,Unfurnished,25.32,14.72882646944462
Nagpur,Budget,3,3,1185.8,8,1,Semi-Furnished,15.05,15.583995429576673
Pune,Mid,3,2,1151.6,8,1,Semi-Furnished,10.61,16.14282192151884
Pune,Mid,1,2,472.4,9,1,Semi-Furnished,14.3,15.234199502520037
Bangalore,Mid,2,2,970.5,12,1,Unfurnished,9.05,16.049382454644334
Mumbai,Premium,2,2,709.9,3,1,Semi-Furnished,4.38,16.500140227038447
Bangalore,Premium,3,3,1198.3,5,1,Fully-Furnished,8.68,16.5784382624958
Bangalore,Mid,3,4,1126.9,20,1,Unfurnished,12.63,16.28768356123388
Mumbai,Mid,1,2,612.0,6,0,Unfurnished,6.68,16.044486031529324
Hyderabad,Budget,2,2,801.8,10,1,Unfurnished,16.72,15.227423931701784
Mumbai,Premium,4,6,1830.6,6,1,Fully-Furnished,19.39,17.48404132471837
Mumbai,Premium,4,5,1746.3,7,0,Fully-Furnished,0.64,17.358924548001855
Hyderabad,Mid,1,2,545.6,7,1,Semi-Furnished,23.08,15.0257518740532
Pune,Premium,3,3,1084.3,9,0,Semi-Furnished,3.84,16.36951454044963
Nagpur,Premium,3,4,1223.5,8,1,Fully-Furnished,6.18,16.063575154752257
Hyderabad,Premium,2,3,843.2,3,1,Semi-Furnished,6.02,15.857938728517933
Pune,Premium,2,2,866.5,5,1,Fully-Furnished,8.69,16.007080846562914
Mumbai,Premium,3,3,1478.2,14,1,Fully-Furnished,11.57,17.260976659358988
Mumbai,Mid,4,4,1985.4,11,1,Semi-Furnished,24.21,17.28581783982081
Bangalore,Premium,3,4,1192.2,3,0,Fully-Furnished,6.41,16.425288764081387
Hyderabad,Mid,2,1,770.4,13,1,Unfurnished,10.0,15.518281970585416
Mumbai,Budget,2,2,926.0,21,0,Unfurnished,17.43,16.147256995583273
Bangalore,Budget,2,2,917.5,10,0,Unfurnished,31.05,15.39948398499081
Bangalore,Premium,2,2,1116.2,4,1,Fully-Furnished,17.23,16.361789549956136
Pune,Mid,1,1,616.2,0,1,Fully-Furnished,14.36,15.399777933620431
Mumbai,Mid,2,1,696.1,14,1,Fully-Furnished,11.85,16.254109272801287
Bangalore,Mid,2,2,782.7,13,1,Semi-Furnished,8.65,15.811696841418124
Mumbai,Mid,2,2,1010.1,11,0,Unfurnished,5.51,16.532533582612047
Mumbai,Mid,1,1,646.3,0,1,Unfurnished,20.67,15.941799663901822
Bangalore,Mid,3,4,1493.4,15,1,Unfurnished,7.24,16.393305062154493
Nagpur,Premium,5,5,2101.2,2,1,Semi-Furnished,6.99,16.602604876006524
Bangalore,Mid,3,3,1099.4,18,1,Semi-Furnished,13.53,16.084438448737224
Bangalore,Premium,3,4,1132.0,14,1,Fully-Furnished,6.4,16.551615907114627
Hyderabad,Premium,4,4,1602.5,7,1,Semi-Furnished,15.89,16.556807445253447
Pune,Premium,3,3,1215.6,7,1,Fully-Furnished,1.14,16.462064857796317
Bangalore,Mid,2,2,971.0,12,0,Fully-Furnished,25.74,15.906681540012286
Pune,Mid,1,2,520.6,1,1,Unfurnished,20.33,15.085492988322166
Pune,Budget,2,2,823.2,1,0,Unfurnished,26.82,15.401696629397971
Mumbai,Premium,3,3,1234.0,7,1,Semi-Furnished,5.31,16.926315308037232
Mumbai,Premium,2,3,899.9,7,1,Semi-Furnished,1.47,16.77516902565417
Mumbai,Premium,1,1,557.3,14,1,Semi-Furnished,14.44,16.115005882536238
Mumbai,Budget,1,1,491.1,1,1,Unfurnished,18.43,15.371580393558553
Pune,Mid,2,3,915.2,3,1,Semi-Furnished,27.13,15.680362948642061
Bangalore,Premium,2,3,778.8,4,1,Fully-Furnished,22.63,16.11604074107646
Nagpur,Mid,2,3,870.3,0,1,Unfurnished,7.93,15.532079597598011
Bangalore,Mid,2,2,962.3,20,0,Unfurnished,7.06,15.943607850018507
Nagpur,Premium,5,6,2268.2,15,1,Semi-Furnished,8.86,16.494130300588527
Bangalore,Mid,2,2,887.2,5,0,Unfurnished,7.76,15.960091807220394
Pune,Mid,3,3,1635.3,7,1,Semi-Furnished,15.91,16.384561262622206
Pune,Mid,1,2,556.2,11,1,Fully-Furnished,10.04,15.459573447005795
Bangalore,Premium,4,4,1758.7,2,1,Fully-Furnished,11.25,16.965209965930665
Hyderabad,Mid,3,2,973.2,6,0,Fully-Furnished,10.34,15.870210151461759
Hyderabad,Mid,1,2,543.8,13,1,Fully-Furnished,22.15,15.042180912896512
Bangalore,Mid,3,4,927.2,5,0,Unfurnished,7.72,15.990526903523305
Pune,Mid,3,4,1479.5,13,0,Semi-Furnished,7.31,16.337042247365527
Hyderabad,Mid,3,3,1427.4,8,0,Unfurnished,19.31,16.055318031855666
Mumbai,Premium,1,1,561.9,2,1,Semi-Furnished,6.52,16.260792239565603
Mumbai,Mid,2,3,857.2,5,0,Fully-Furnished,20.16,16.442914319183327
Hyderabad,Premium,2,3,925.1,1,1,Semi-Furnished,14.34,16.07114847743782
Hyderabad,Mid,1,1,464.2,2,1,Semi-Furnished,17.08,14.943093450028933
Mumbai,Premium,2,1,909.8,4,0,Fully-Furnished,7.61,16.702071118019138
Mumbai,Premium,3,3,1086.5,14,1,Semi-Furnished,19.69,16.840252551002624
Pune,Mid,2,2,949.4,7,1,Fully-Furnished,13.66,15.904424469757586
Mumbai,Premium,5,5,2098.3,8,0,Unfurnished,10.9,17.502882801807246
Nagpur,Budget,3,3,1317.6,21,1,Semi-Furnished,28.26,15.340132137082168
Hyderabad,Budget,3,2,1355.5,20,1,Fully-Furnished,18.33,15.841238114589686
Hyderabad,Budget,2,2,790.8,12,0,Unfurnished,18.48,15.246937927815
Pune,Mid,3,4,1233.9,10,1,Semi-Furnished,21.34,16.224583401048623
Mumbai,Premium,2,2,797.1,9,1,Semi-Furnished,2.28,16.600001479674177
Bangalore,Mid,2,2,1075.1,5,1,Fully-Furnished,6.06,16.268703691614494
Hyderabad,Mid,3,2,1488.3,16,0,Unfurnished,14.0,16.23276317176782
Mumbai,Mid,2,2,1126.2,9,1,Semi-Furnished,18.53,16.684778181971875
Nagpur,Mid,1,1,528.8,16,1,Semi-Furnished,4.75,14.963151712469037
Hyderabad,Budget,3,3,937.2,2,0,Unfurnished,16.32,15.615931739354071
Mumbai,Mid,4,5,1789.9,3,1,Unfurnished,17.59,17.127703304690144
Pune,Budget,2,2,871.5,14,0,Fully-Furnished,16.49,15.579448403515316
Hyderabad,Premium,2,2,953.1,13,1,Semi-Furnished,13.86,16.007401715647173
Bangalore,Mid,2,2,925.1,5,1,Fully-Furnished,1.06,16.06723205371141
Mumbai,Mid,2,3,1022.8,1,0,Fully-Furnished,15.26,16.633435450484114
Bangalore,Mid,1,1,557.0,10,1,Unfurnished,11.82,15.249748772853003
Bangalore,Premium,1,1,650.1,4,1,Fully-Furnished,15.72,15.906694511878593
Nagpur,Mid,2,3,1015.6,8,0,Unfurnished,20.56,15.268754203869507
Pune,Premium,4,5,1751.3,4,1,Semi-Furnished,10.22,16.79744558576712
Mumbai,Mid,3,3,1288.8,1,0,Unfurnished,5.52,16.816717667217528
Pune,Premium,2,2,959.0,4,1,Fully-Furnished,0.5,16.15124721479675
Mumbai,Mid,2,2,788.0,7,1,Semi-Furnished,18.38,16.265036977162687
Pune,Mid,2,2,1094.6,17,1,Semi-Furnished,8.87,15.996169004893346
Mumbai,Premium,2,3,750.9,6,1,Unfurnished,1.95,16.546006165652926
Hyderabad,Mid,1,2,655.8,20,0,Unfurnished,17.42,15.126897088667555
Bangalore,Mid,3,3,1290.7,6,1,Fully-Furnished,20.6,16.28835432620106
Mumbai,Mid,3,3,1033.4,1,1,Unfurnished,18.9,16.480994396798835
Hyderabad,Mid,3,3,1351.4,9,1,Fully-Furnished,18.79,16.23793603548708
Mumbai,Premium,1,1,373.8,2,1,Semi-Furnished,7.53,15.809249184426708
Pune,Mid,3,4,1042.1,17,1,Unfurnished,15.35,16.03237968910154
Bangalore,Budget,2,3,887.4,15,1,Unfurnished,22.63,15.514262527517346
Pune,Mid,2,2,907.8,17,1,Unfurnished,9.42,15.852278652659678
Mumbai,Mid,2,3,1087.8,4,1,Unfurnished,27.39,16.566891220750616
Pune,Budget,1,1,471.4,11,0,Semi-Furnished,12.49,14.834990169200136
Bangalore,Premium,3,4,1363.1,14,1,Fully-Furnished,11.05,16.563407430113394
Nagpur,Mid,1,2,522.5,5,1,Unfurnished,19.32,14.542431432026392
Hyderabad,Mid,3,2,1289.8,5,0,Semi-Furnished,12.03,16.019276692583894
Mumbai,Premium,3,2,1440.1,5,1,Semi-Furnished,9.65,17.05267335229548
Pune,Budget,3,4,1159.5,10,1,Unfurnished,5.96,15.811214720904749
Bangalore,Mid,2,2,958.1,14,1,Unfurnished,20.38,15.870528507114598
Mumbai,Mid,2,2,893.1,8,0,Unfurnished,6.53,16.525023821601675
Pune,Budget,1,2,524.3,11,0,Unfurnished,26.17,14.510562922508115
Bangalore,Premium,2,2,1039.8,1,1,Semi-Furnished,14.76,16.332451503300916
Mumbai,Budget,1,2,527.7,8,1,Unfurnished,14.55,15.626676334133906
Mumbai,Mid,2,2,891.8,6,0,Semi-Furnished,19.13,16.378464618451787
Hyderabad,Mid,4,4,1457.4,11,1,Unfurnished,15.81,16.303765678694223
Pune,Mid,2,2,724.1,12,0,Unfurnished,8.18,15.552521472014961
Nagpur,Premium,3,3,1172.3,5,1,Semi-Furnished,11.04,15.906023336700596
Pune,Premium,2,2,877.2,8,1,Semi-Furnished,8.23,16.15592722662982
Mumbai,Budget,2,2,923.9,10,0,Unfurnished,23.55,16.094679316078956
Hyderabad,Mid,1,1,496.0,13,1,Semi-Furnished,11.44,14.981731338085117
Bangalore,Premium,5,6,2906.3,9,1,Semi-Furnished,0.5,17.307930990608334
Mumbai,Budget,2,2,849.8,17,1,Fully-Furnished,12.68,16.236144784540844
Bangalore,Premium,1,2,552.2,8,1,Fully-Furnished,19.65,15.750222526497192
Bangalore,Mid,1,2,537.0,1,1,Unfurnished,11.4,15.35995587285038
Nagpur,Mid,4,4,1866.4,14,1,Unfurnished,0.5,16.280033021383392
Nagpur,Mid,4,4,1383.1,11,0,Semi-Furnished,8.93,15.999407042894987
Hyderabad,Budget,1,1,563.8,12,0,Semi-Furnished,23.58,14.45459323947246
Pune,Premium,3,3,1260.4,6,1,Semi-Furnished,11.47,16.480726045941942
Bangalore,Premium,4,5,1786.8,7,0,Semi-Furnished,15.68,16.825868108849743
Bangalore,Mid,2,1,826.0,11,1,Unfurnished,16.73,15.804079459381198
Hyderabad,Premium,3,4,1084.0,12,1,Fully-Furnished,13.29,16.11387505676798
Mumbai,Premium,2,1,925.2,7,1,Semi-Furnished,4.02,16.736385709591143
Bangalore,Budget,2,2,817.8,10,1,Unfurnished,21.08,15.5077264491894
Pune,Premium,1,2,591.8,11,1,Unfurnished,0.5,15.622079983062351
Pune,Budget,2,2,907.9,13,1,Semi-Furnished,10.65,15.655141515540066
Nagpur,Budget,1,1,516.6,12,1,Unfurnished,15.58,14.269722654706646
Mumbai,Mid,3,3,1272.2,17,0,Fully-Furnished,26.46,16.788243462082253
Bangalore,Mid,2,2,889.6,9,1,Unfurnished,8.75,15.881871925938754
Hyderabad,Mid,2,3,851.6,4,0,Unfurnished,9.06,15.768611505433027
Pune,Budget,2,2,999.6,11,0,Unfurnished,29.37,15.545999936689128
Bangalore,Mid,3,2,1369.2,6,1,Unfurnished,14.96,16.450028170066073
Pune,Mid,4,4,1562.2,7,1,Semi-Furnished,20.09,16.439411029111046
Mumbai,Mid,2,2,653.6,4,1,Fully-Furnished,0.5,16.272248673639975
Bangalore,Mid,3,4,1080.1,0,1,Semi-Furnished,14.75,16.28645324721944
Mumbai,Mid,1,1,567.6,1,0,Semi-Furnished,9.17,16.032223225117516
Bangalore,Budget,1,1,569.6,13,0,Fully-Furnished,17.68,14.963450009449373
Mumbai,Mid,1,1,514.4,17,0,Unfurnished,19.53,15.76866866272843
Bangalore,Mid,3,4,1368.9,17,1,Semi-Furnished,5.85,16.495508275091062
Pune,Budget,1,1,616.8,8,0,Semi-Furnished,26.97,14.655209620476148
Bangalore,Mid,2,3,1172.5,4,1,Unfurnished,16.26,16.21098845672154
Mumbai,Budget,2,2,824.8,11,0,Fully-Furnished,24.58,16.062717181488868
Bangalore,Mid,2,3,1045.7,6,1,Unfurnished,23.25,16.08453648893647
Mumbai,Mid,3,4,1285.6,16,1,Unfurnished,12.65,16.695246960431504
Bangalore,Budget,2,2,896.1,11,1,Unfurnished,17.91,15.557201070716442
Nagpur,Mid,3,4,1045.5,10,0,Fully-Furnished,21.35,15.633060410995075
Pune,Premium,3,3,1172.1,0,1,Fully-Furnished,9.64,16.48263882899728
Bangalore,Premium,2,1,829.6,6,1,Unfurnished,8.44,16.059131537234922
Nagpur,Mid,1,1,509.1,2,0,Unfurnished,14.81,14.39277707970102
Hyderabad,Budget,2,3,825.4,14,0,Fully-Furnished,17.34,15.419819740920783
Mumbai,Budget,1,2,459.8,14,1,Unfurnished,13.79,15.39319295915736
Mumbai,Budget,2,2,965.4,2,0,Semi-Furnished,9.92,16.304508327697032
Bangalore,Mid,1,2,584.4,8,0,Unfurnished,15.19,15.325175426815573
Mumbai,Budget,1,1,563.2,13,1,Fully-Furnished,16.43,15.66926610029624
Pune,Budget,1,2,410.3,11,0,Semi-Furnished,13.07,14.796832564553014
Pune,Mid,2,2,741.2,7,1,Fully-Furnished,13.89,15.638823440815095
Hyderabad,Budget,2,3,828.2,9,1,Unfurnished,22.56,15.169757337398721
Hyderabad,Mid,1,1,454.1,18,1,Unfurnished,13.38,14.70477412429869
Bangalore,Mid,1,1,597.4,2,0,Unfurnished,0.5,15.618415353325098
Hyderabad,Premium,3,5,1233.6,4,1,Semi-Furnished,0.5,16.303277529794798
Mumbai,Mid,3,4,1286.1,1,1,Unfurnished,13.85,16.76302648268532
Nagpur,Mid,2,2,1050.6,6,0,Unfurnished,21.82,15.390654703885474
Mumbai,Mid,4,4,2090.9,8,1,Unfurnished,19.37,17.326704323025023
Pune,Budget,2,2,943.5,10,0,Fully-Furnished,27.09,15.469814755738424
Bangalore,Mid,2,2,982.2,8,1,Unfurnished,7.65,16.120871494736715
Nagpur,Premium,3,4,1081.8,3,1,Fully-Furnished,0.5,15.923869434053227
Pune,Mid,4,4,1863.3,5,1,Semi-Furnished,13.31,16.59314328778255
Hyderabad,Mid,3,4,1024.6,1,1,Unfurnished,15.06,15.856277147536172
Pune,Mid,4,4,1764.1,12,1,Semi-Furnished,9.62,16.605243536474717
Pune,Mid,3,4,1283.0,10,1,Unfurnished,10.32,16.136039492959462
Mumbai,Mid,2,2,839.3,3,1,Semi-Furnished,20.31,16.308260534952872
Nagpur,Mid,2,2,955.1,10,1,Semi-Furnished,9.58,15.445868512369861
Pune,Budget,3,5,1437.9,14,1,Fully-Furnished,14.1,16.059250014558557
Hyderabad,Budget,2,3,829.6,9,0,Unfurnished,20.93,15.180168020540592
Hyderabad,Mid,2,1,974.1,6,0,Unfurnished,15.97,15.651488806102838
Nagpur,Mid,3,4,1509.9,8,0,Fully-Furnished,22.73,15.814002585112151
Nagpur,Mid,4,4,1638.6,18,0,Semi-Furnished,14.36,15.886964785811685
Mumbai,Mid,3,2,1370.5,10,1,Semi-Furnished,15.33,16.761679303379996
Bangalore,Mid,3,2,801.6,7,0,Semi-Furnished,13.42,15.929132608241025
Pune,Mid,2,3,1151.9,6,1,Unfurnished,8.4,16.047754084676995
Hyderabad,Mid,2,1,986.6,0,0,Unfurnished,4.72,15.711956715879746
Hyderabad,Budget,2,3,925.3,14,0,Fully-Furnished,21.9,15.337581757557166
Bangalore,Mid,2,3,929.2,5,1,Semi-Furnished,17.71,15.879830086164468
Nagpur,Mid,1,2,564.8,4,1,Unfurnished,8.94,14.653874774782313
Bangalore,Mid,1,1,559.1,6,0,Semi-Furnished,12.05,15.337610567377649
Bangalore,Premium,5,5,2029.9,7,1,Semi-Furnished,14.37,16.934314833678258
Mumbai,Budget,1,1,537.9,11,0,Unfurnished,21.11,15.597826073108802
Nagpur,Mid,1,1,479.7,10,1,Semi-Furnished,7.67,14.739265761224361
Bangalore,Mid,3,4,1476.0,4,1,Fully-Furnished,14.31,16.477676109797596
Mumbai,Budget,2,3,870.0,9,0,Unfurnished,19.15,16.095816299110428
Bangalore,Mid,1,1,543.3,15,0,Semi-Furnished,1.49,15.42936629741412
Nagpur,Mid,2,1,920.7,21,0,Unfurnished,10.87,15.330389408434405
Hyderabad,Mid,3,4,1070.3,16,1,Unfurnished,8.48,15.911140851811545
Mumbai,Mid,2,3,797.5,6,1,Unfurnished,11.63,16.41016553287902
Hyderabad,Budget,1,1,592.7,13,0,Unfurnished,21.2,14.562409383689804
Mumbai,Premium,1,1,550.0,2,1,Semi-Furnished,3.24,16.21683322326421
Nagpur,Mid,3,3,1438.4,21,1,Unfurnished,26.17,15.728507238457539
Bangalore,Mid,3,4,1187.0,9,1,Unfurnished,18.06,16.284419422854178
Hyderabad,Mid,3,4,1238.2,14,1,Fully-Furnished,3.33,16.194934832818056
Bangalore,Mid,3,4,1344.8,10,1,Unfurnished,15.04,16.280887998074093
Mumbai,Premium,1,1,429.2,8,0,Semi-Furnished,8.29,15.920434156638793
Mumbai,Budget,2,2,1013.3,15,0,Unfurnished,22.48,16.22515598111257
Mumbai,Mid,2,2,885.7,1,0,Semi-Furnished,21.98,16.447592401057385
Hyderabad,Premium,5,6,2293.2,5,1,Fully-Furnished,7.12,16.963621757001054
Pune,Premium,3,4,1273.8,0,1,Semi-Furnished,11.05,16.41442073970381
Hyderabad,Budget,1,2,540.7,10,1,Unfurnished,27.59,14.412528923729688
Mumbai,Premium,3,4,1333.7,8,1,Unfurnished,3.38,17.048771853993525
Mumbai,Mid,1,1,672.5,1,0,Fully-Furnished,18.7,16.180359775114827
Hyderabad,Budget,3,3,1409.5,4,0,Semi-Furnished,14.05,16.003797423797472
Hyderabad,Mid,2,3,939.4,9,0,Fully-Furnished,19.25,15.65234982439218
Bangalore,Mid,2,2,1061.2,7,1,Unfurnished,19.46,16.048951339433476
Pune,Budget,2,3,861.3,5,0,Semi-Furnished,12.87,15.57042379938277
Hyderabad,Mid,3,3,1278.2,24,0,Unfurnished,7.16,16.024581906597174
Pune,Budget,2,2,880.8,2,0,Unfurnished,16.65,15.453987720220203
Pune,Mid,2,2,922.2,6,0,Semi-Furnished,14.93,15.869380541519257
Pune,Budget,2,2,741.4,8,0,Unfurnished,25.28,15.145641363150116
Bangalore,Mid,1,1,567.3,2,0,Semi-Furnished,12.79,15.34879933957385
Mumbai,Mid,2,2,884.3,1,1,Unfurnished,14.65,16.489181231109374
Pune,Mid,2,2,1006.1,5,0,Semi-Furnished,18.22,15.868228432107344
Mumbai,Mid,3,3,997.7,0,0,Unfurnished,9.68,16.63637603879387
Hyderabad,Budget,2,3,815.1,13,1,Unfurnished,15.07,15.347292395782427
Pune,Premium,1,2,539.8,7,1,Fully-Furnished,7.0,15.705587800860679
Bangalore,Mid,2,2,869.7,9,0,Fully-Furnished,9.26,15.969991967804978
Pune,Budget,2,1,959.1,4,0,Semi-Furnished,23.44,15.497132750585457
Pune,Budget,1,1,650.3,6,1,Semi-Furnished,17.67,15.038158000704888
Mumbai,Premium,2,2,903.2,4,1,Semi-Furnished,8.85,16.777611898394493
Mumbai,Budget,2,2,878.0,3,0,Unfurnished,17.43,16.233442655231457
Bangalore,Mid,2,3,698.2,0,1,Semi-Furnished,13.93,15.608897036228344
Mumbai,Mid,3,2,1224.7,8,0,Unfurnished,13.4,16.728693050427523
Mumbai,Mid,2,2,856.4,13,0,Semi-Furnished,22.93,16.312832155705703
Hyderabad,Budget,1,1,526.9,5,1,Unfurnished,19.0,14.703367658354788
Bangalore,Mid,2,3,683.6,5,0,Unfurnished,12.9,15.71239866596879
Hyderabad,Premium,3,3,1090.9,2,1,Semi-Furnished,15.73,16.129287191390098
Hyderabad,Budget,1,1,532.4,12,0,Fully-Furnished,13.21,14.6240490273442
Mumbai,Budget,2,1,913.0,0,0,Unfurnished,16.21,16.25084497534719
Nagpur,Mid,3,4,1020.9,10,1,Unfurnished,16.09,15.58946851632643
Nagpur,Mid,1,1,554.4,3,0,Semi-Furnished,15.97,14.732451478420016
Mumbai,Premium,4,4,1709.0,11,1,Semi-Furnished,4.92,17.3553894724824
Pune,Mid,2,3,978.2,6,0,Semi-Furnished,16.73,15.961181105169947
Hyderabad,Mid,2,1,1086.4,4,1,Semi-Furnished,16.99,15.922803255366528
